ChemicalName,CAS­nr,Year,TWA(ppm),TWA(mg/m^3),STEL(ppm),STEL(mg/m3)
–inhalerbar fraktion,-na-n,,−,"0,1",−,"0,2"
Svaveltetrafluorid,7783­6-0­-0,1993,−,−,"0,1","0,4"
Talk,14807­9-6­-6,1996,,,,
– totaldamm,-na-n,,−,2,−,−
– respirabel  fraktion,-na-n,,−,1,−,−
Tellur* metall och föreningar (som Te),13494­80-­9-*,1981,,,,
–totaldamm,-na-n,,−,"0,1",−,−
Tenn* metall och oorg. föreningar,7440­31-­5-*,2011,,,,
(som Sn),-na-n,,,,,
–inhalerbar fraktion,-na-n,,−,2,−,−
Tennorganiska föreningar (som Sn),-na-n,1978,,,"H,V",3
–totaldamm,-na-n,,"−

0,1","−

0,2",,
" Terfenyl, hydrerad",61788­3-2­-7,2018,"2 
19","5 
48",,
Terpener,-na-n,1990,"25 
150","50 
300","S,V",
Terpentin,8006­6-4­-2,1990,"25 
150","50 
300","H,S,V",
"1,1,2,2­Tetrabrometan",79­2-7­-6,1993,"1 
14","2 
30",V,
Tetraetylbly (som Pb),78­0-0­-2,1981,"−
0,05","−
0,2","H,R,V",
 Tetraetylortosilikat,78­1-0­-4,2018,"5 
44","10 
86",,
"1,1,1,2­Tetrafluoretan",-na-n,,,,,
Se: HFC 134a,-na-n,,,,,
"1,2,2,2­Tetrafluoroetyldifluormetyleter",-na-n,,,,,
Se: Desfluran,-na-n,,,,,
Tetrahydroftalsyraanhydrid,85­4-3­-8,,,,"M,S","4,32"
,935­7-9­-5,,,,,
Tetrahydrofuran,109­9-9­-9,2015,"50 
150","100 
300",,
 Tetrakloretylen,127­1-8­-4,2018,"10 
70","25 
170","C,H",
Tetraklorfenol* och salter,25167­83-­3-*,1990,"−

0,5","−

1,5","H,V",
Tioglykolsyra,68­1-1­-1,1996,1,4,2,8
Tiram,137­2-6­-8,1993,−,1,−,2
Titandioxid,13463­6-7­-7,1990,,,,
–totaldamm,-na-n,,−,5,−,−
"o­Tolidin (3,3’­dimetylbensidin)",119­9-3­-7,,,,,
Toluen,108­8-8­-3,2015,50,192,100,384
 o­Toluidin,95­5-3­-4,2018,"0,1","0,5",−,−
Tridymit,15468­3-2­-3,1996,,,,
–respirabel fraktion,-na-n,,−,"0,05",−,−
Trietanolamin,102­7-1­-6,2011,"0,8",5,"1,6",10
Trietylamin,121­4-4­-8,2015,1,"4,2",3,"12,6"
Trietylentetramin,112­2-4­-3,1984,1,6,2,12
"1,1,1­Trifluoretan",420­4-6­-2,2005,500,1750,750,2625
"1,2,4­Triklorbensen",120­8-2­-1,2015,2,15,5,38
"1,1,1­Trikloretan",71­5-5­-6,2015,50,300,200,1110
" 1,1,2­Trikloretylen",79­0-1­-6,2018,10,54,25,140
Triklorfenol* och salter,25167­82-­2-*,"−

1990 
0,5",−,"1,5","C,H,V",
Vanadinpentoxid (som V),1314­6-2­-1,1987,,,,
– totaldamm,-na-n,,−,"0,2",−,−
– respirabel  fraktion,-na-n,,−,−,−,"0,05"
Vinylacetat,108­0-5­-4,1993,5,18,10,35
 Vinylbromid,593­6-0­-2,2018,1,"4,4",−,−
Vinylidenklorid,-na-n,,,,,
"Se: 1,1­Dikloreten",-na-n,,,,,
 Vinylklorid,75­0-1­-4,2018,1,"2,5",5,13
Vinyltoluen,25013­1-5­-4,1993,10,50,30,150
2­Vinyltoluen,611­1-5­-4,,,,,
Väteklorid,-na-n,,,,,
Se: Saltsyra,-na-n,,,,,
Väteperoxid,7722­8-4­-1,1990,"1 
1,4","2 
3",,
Väteselenid,7783­0-7­-5,2015,"0,01 
0,03","0,05 
0,2",,
Vätesulfid,7783­0-6­-4,2015,"5 
7","10 
14",,
Wollastonit,-na-n,,,,,
"Se: Fibrer, naturliga kristallina­Övriga",-na-n,,,,,
Xylen,1330­2-0­-7,2015,"50 
221","100 
442",H,
o­Xylen,95­4-7­-6,,,,,
